Image,Kernels,Red,Green,Blue
1_A15LRH0_0026.tif,1, 77, 96, 79,
,1, 84, 104, 84,
,1, 87, 109, 89,
,1, 89, 112, 91,
,1, 92, 114, 94,
,1, 95, 114, 96,
,1, 96, 116, 98,
,1, 98, 115, 98,
,1, 96, 117, 97,
,1, 94, 120, 96,
,1, 93, 117, 95,
,1, 92, 117, 96,
,1, 89, 114, 97,
,1, 85, 113, 93,
,1, 81, 104, 86,
,1, 88, 108, 88,
,1, 93, 114, 89,
,1, 98, 115, 91,
,1, 101, 119, 93,
,1, 104, 119, 96,
,1, 107, 124, 98,
,1, 111, 122, 99,
,1, 112, 127, 100,
,1, 113, 123, 100,
,1, 109, 122, 100,
,1, 105, 123, 99,
,1, 105, 123, 98,
,1, 105, 121, 99,
,1, 101, 118, 100,
,1, 98, 119, 99,
,1, 96, 122, 98,
,1, 94, 119, 95,
,1, 91, 118, 92,
,1, 87, 113, 91,
,1, 77, 93, 76,
,1, 83, 100, 79,
,1, 89, 104, 86,
,1, 95, 112, 93,
,1, 102, 119, 95,
,1, 105, 121, 98,
,1, 108, 122, 98,
,1, 110, 123, 97,
,1, 112, 122, 100,
,1, 114, 125, 102,
,1, 115, 124, 102,
,1, 117, 126, 102,
,1, 118, 128, 103,
,1, 115, 127, 103,
,1, 111, 129, 102,
,1, 112, 126, 101,
,1, 112, 126, 102,
,1, 110, 124, 104,
,1, 107, 124, 105,
,1, 106, 125, 105,
,1, 105, 126, 103,
,1, 102, 122, 101,
,1, 99, 120, 99,
,1, 93, 116, 97,
,1, 88, 113, 95,
,1, 86, 104, 85,
,1, 95, 110, 89,
,1, 102, 115, 95,
,1, 108, 119, 100,
,1, 114, 123, 101,
,1, 116, 127, 102,
,1, 118, 127, 102,
,1, 119, 127, 102,
,1, 120, 127, 104,
,1, 120, 129, 105,
,1, 120, 127, 106,
,1, 122, 126, 107,
,1, 123, 129, 107,
,1, 121, 129, 107,
,1, 118, 128, 105,
,1, 119, 124, 104,
,1, 119, 128, 105,
,1, 118, 128, 106,
,1, 116, 128, 106,
,1, 115, 127, 107,
,1, 115, 128, 105,
,1, 112, 126, 103,
,1, 109, 124, 102,
,1, 105, 120, 102,
,1, 101, 119, 100,
,1, 94, 122, 98,
,1, 86, 116, 93,
,1, 84, 104, 83,
,1, 91, 109, 89,
,1, 98, 113, 93,
,1, 104, 118, 97,
,1, 111, 126, 103,
,1, 115, 126, 108,
,1, 118, 128, 107,
,1, 119, 130, 107,
,1, 121, 130, 107,
,1, 122, 129, 107,
,1, 123, 127, 107,
,1, 123, 131, 108,
,1, 124, 130, 109,
